Name+G5:I414,Parent1,Parent2
NJ60837,YellNewtown,GoldenDel
NY55158-002,NorthSpy,P14-126
NY632,M_NY632,Splendour
NY76406-007,NY247,NY66305-289
Oriole,YelTransp,LivelRasp
PattenGr,DuchOlden,F_PattenGr
RedBaron,GoldenDel,DuchOlden
Regent,DuchOlden,Delicious
Sharon,McIntosh,Longfield
Spartan,McIntosh,F_Spartan
Suncrisp,GoldenDel,Cox
Sundowner,GoldenDel,LadyWill
Sweet16,Frostbite,NorthSpy
Tsugaru,GoldenDel,F_Tsugaru
Wijcik,McIntosh,*MUT
WSU3,Splendour,F_WSU3
Akane,Jonathan,WorcPearm
Blackjon,Jonathan,dummy6
Britemac,Melba,Kildare
Crandall,RomBeauty,Jonathan
Discovery,WorcPearm,BeautBath
EarlyCortland,Cortland,Lodi
Elstar,GoldenDel,IngMarie
F2_26829-2-2,F1_9433-2-2,F1_9433-2-8
Fantazja,McIntosh,Linda
Fortune,NorthSpy,Empire
Gala,KidsOrRed,GoldenDel
Goodland,PattenGr,F_Goodland
Hatsuaki,Jonathan,GoldenDel
Honeycrisp,Keepsake,F_Honeycrisp
Honeygold,GoldenDel,Haralson
Idared,Jonathan,Wagener
Jolana,Spartan,OR38T610
Jonagold,Jonathan,GoldenDel
Jonamac,McIntosh,Jonathan
Kerr,Dolgo,Haralson
Lambourne,JamesGr,WorcPearm
Liberty,Macoun,PRI54-12
Melrose,Jonathan,Delicious
MN1708,Keepsake,F_Honeycrisp
MN1789,MN1636,Beacon
Monroe,Jonathan,RomBeauty
NJ117637,Melba,NJ130o
NJ12,RomBeauty,Melba
NJ15,NJ35934,F_NJ15
NJ303955,Cortland,Cox
NJ35437,RomBeauty,Jonathan
NJ67634,Melba,Sonora
NY06,Wijcik,Suncrisp
NY09,NY76406-007,CoromandelRed
NY18491,Macoun,Antonovka
NY18492,Macoun,Antonovka
Pinova,Clivia,GoldenDel
sibLiberty,Macoun,PRI54-12
Snowsweet,Sharon,Fireside
StateFair,Mantet,Oriole
Sunrise,M_Sunrise,PCF-3-120
VistaBella,Melba,Sonora
Arlet,GoldenDel,Idared
AurGoldGa,Gala,Splendour
AutumnCrisp,GoldenDel,Monroe
BC-8S-27-2,Splendour,Gala
BC8S-27-43,Splendour,Gala
Burgundy,Monroe,NY18491
Chinook,Splendour,Gala
Delorgue,Delcorf,Akane
DgR23T35,Jonathan,F2_26829-2-2
Empress,Jonamac,VistaBella
Fiesta,Cox,Idared
MN1691,Fireside,Goodland
MN1836,RedBaron,Britemac
MN1899,MN1702,Snowsweet
MN1915,Sweet16,Honeycrisp
MN1942,Honeycrisp,NY543
MN1955,Honeycrisp,GingerGold
MN1965,MN1702,Honeycrisp
MN1971,MN1789,Honeycrisp
MN1980,Honeycrisp,Liberty
MN1984,Frostbite,Honeycrisp
MN2034,Honeycrisp,GingerGold
MN2036,Honeycrisp,Liberty
MN2056,MN1764,Honeycrisp
MN2057,MN1764,Honeycrisp
MN2062,MN1702,Honeycrisp
MN2063,MN1764,Honeycrisp
Nicola,Splendour,Gala
NJ123249,NJ117637,NJ12
NJ136055,NJ15,Melba
NJ27,NJ117637,NJ12
NJ37848,NJ12,NJ14
NJ440249,NJ19237,NJ35437
NY04,Honeycrisp,Gala
NY05,Gala,Honeycrisp
NY07,Gala,Honeycrisp
NY11,Pinova,NY92607-16
NY49821-46,GoldenDel,F2_26829-2-2
NY59333-006,Blackjon,RussianSeedling
NY65707-19 ,Spartan,sibLiberty
NY88,Monroe,Melrose
PacQueen,Gala,Splendour
PacRose,Gala,Splendour
PRI14-126,GoldenDel,F2_26829-2-2
PRI14-226,GoldenDel,F2_26829-2-2
PRI14-510,GoldenDel,F2_26829-2-2
PRI14-644,GoldenDel,F2_26829-2-2
PRI16-144,GoldenDel,F2_26829-2-2
PRI2-19,McIntosh,F2_26829-2-2
PRI47-147,Jonathan,F2_26829-2-2
Rubin,Lambourne,GoldenDel
Sansa,Gala,Akane
Sawa,Fantazja,Primula
Scifresh,Braeburn,Gala
Silken,Honeygold,Sunrise
Sonya,Gala,Delicious
Vanda,Jolana,Lambourne
Williams,Jolana,F_Williams
WSU2,Splendour,Gala
WSU24,Gala,CrippsPink
WSU34,Honeycrisp,Delicious
WSU37,Gala,Delblush
WSU46,Hatsuaki,CrippsPink
WSU65,CrippsPink,Honeycrisp
669NJ5,Crandall,PRI14-226
Freedom,NY18492,NY49821-46
Ill#2,Winesap,F_Ill#2
MN1837,MN1627,MN1691
MN1888,MN1627,MN1691
MN2000,Keepsake ,Empress
MN2042,Honeycrisp,Burgundy
NJ53,Williams,Starr
NJ90,NJ136055,Spartan
NY02,Braeburn,AutumnCrisp
NY03,AutumnCrisp,Fuji
NY13,Honeycrisp,NY65707-19
NY53705-021,EsopSpitz,PRI14-226
NY70712-53,NY55158-002,NY59333-006
NY752,GoldenDel,NY88
NY913,NY65707-19 ,GingerGold
PCFW2-134,NJ37848,NJ440249
PRI1018-101,NJ16-109,DgR23T35
PRI1050-201,WintBanana,PRI2-19
PRI1235-100,PRI47-147,NJ123249
PRI612-1,Delicious,PRI14-126
PRI668-100,Melrose,PRI14-126
PRI669-205,Crandall,PRI14-226
PRI855-102,PRI14-644,Jonathan
Prima,PRI14-510,NJ123249
Topaz,Rubin,Vanda
WSU17,Honeycrisp,Chinook
WSU30,Fuji,BC-8S-27-2
WSU35,Arlet,NY632
WSU36,Honeycrisp,Chinook
WSU48,CrippsPink,Arlet
WSU49,PacRose,Honeycrisp
WSU50,PacRose,Honeycrisp
WSU52,PacRose,Honeycrisp
WSU57,Honeycrisp,PacRose
Zestar,StateFair,MN1691
Coop-15,NJ27,PRI612-1
Coop-17,Ill#2,PRI668-100
Coop-18,NJ60837,669NJ5
CrimsCrisp,PCFW2-134,PRI669-205
Dayton,NJ123249,PRI1235-100
Jonafree,PRI855-102,NJ31
MN1839,MN1627,Prima
MN1914,Honeycrisp,Zestar
MN1925,Honeycrisp,Zestar
MN1937,Empress,Zestar
MN1940,Empress,Zestar
MN1964,Freedom,Snowsweet
MN1988,Honeycrisp,Freedom
MN2016,Zestar,Arlet
MN2033,Honeycrisp,Zestar
MN2041,Honeycrisp,Zestar
MN2044,Honeycrisp,Zestar
MN2046,EarlyCortland,Zestar
MN2050,Honeycrisp,Zestar
NJ110037,Melba,NJ53
NY01,Honeycrisp,NY752
NY10,Empire,NY70712-53
NY12,Gala,NY02
NY14,Honeycrisp,NY752
NY15,GoldenDel,NY752
NY241,Honeycrisp,NY752
NY61345,Spartan,NY53705-021
PixieCrunch,PCFW2-134,PRI669-205
PRI1661-1,McIntosh,PRI612-1
PRI1661-2,McIntosh,PRI612-1
Sundance,GoldenDel,PRI1050-201
Enterprise,PRI1661-2,PRI1661-1
Goldrush,GoldenDel,Coop-17
MN2031,Honeycrisp,NY61345
NY08,Fuji,Coop-18
Raritan,NJ67634,NJ110037
WSU5,Splendour,Coop-15
Redfree,Raritan,PRI1018-101
WSU38,Enterprise,Honeycrisp
WSU7,NJ90,Goldrush
,,
AE_HCx1702,Honeycrisp,MN1702
AE_HCx1764,Honeycrisp,MN1764
AE_HCxJonf,Honeycrisp,Jonafree
AE_HCxMon,Honeycrisp,Monark
AE_HCxPit(692),Honeycrisp,PitmPine
AE_HCxZest,Honeycrisp,Zestar
AE0103,MN1839,Zestar
AE0104,MN1839,MN1915
AE0109,MN1702,Zestar
AE0113,GingerGold,MN1915
AE0115,Snowsweet,Honeycrisp
AE0116,Snowsweet,Honeycrisp
AE0118,Honeycrisp,Regent
AE0122,Honeycrisp,Zestar
AE0202,MN1837,PixieCrunch
AE0204,MN1837,BC8S-27-43
AE0206,Zestar,BC8S-27-43
AE0207,Zestar,PixieCrunch
AE0210,Sunrise,GMAL4329
AE0211,GingerGold,GMAL4328
AE0213,GingerGold,GMAL4332
AE0215,Sawa,Zestar
AE0219,Zestar,Goldrush
AE0226,MN1691,Zestar
AE0227,MN1691,PixieCrunch
AE0229,Monark,Zestar
AE0230,Keepsake,Zestar
AE0233,Keepsake,BC8S-27-43
AE0234,Keepsake,AurGoldGa
AE0235,MN1802,PixieCrunch
AE0236,MN1802,BC8S-27-43
AE0237,Snowsweet,PixieCrunch
AE0240,MN1702,Zestar
AE0241,Gala,Zestar
AE0242,Dayton,Zestar
AE0245,Honeycrisp,BC8S-27-43
AE0246,Honeycrisp,AurGoldGa
AE0247,Honeycrisp,PixieCrunch
AE0248,Honeycrisp,Goldrush
AE0250,Honeycrisp,GMAL4327
AE0251,Sweet16,BC8S-27-43
AE0252,Sweet16,AurGoldGa
AE0254,Sweet16,Goldrush
AE0301,MN1888,Honeycrisp
AE0304,Honeycrisp,Akane
AE0305,Honeycrisp,Sansa
AE0306,Honeycrisp,Tsugaru
AE0307,Honeycrisp,MN1888
AE0308,Zestar,Sansa
AE0401,Honeycrisp,GingerGold
AE0402,Honeycrisp,Ambrosia
AE0403,Honeycrisp,Gala
AE0404,Honeycrisp,Sansa
AE0405,Honeycrisp,Tsugaru
AE0406,Honeycrisp,Silken
AE0407,MN1702,Honeycrisp
AE0408,MN1764,Honeycrisp
CornellPop01,Goldrush,NY913
CornellPop02,Pinova,Cameo
CornellPop03,Sonya,NY241
CornellPop04,Honeycrisp,Gala
CornellPop05,AutumnCrisp,Fuji
CornellPop06,Hudson,NY913
CornellPop07,Braeburn,GingerGold
CornellPop08,Fuji,NY06
CornellPop09,Pinova,NY03
CornellPop10,NY752,NY03
CornellPop11,NY752,Sonya
CornellPop12,Honeycrisp,Goldrush
CornellPop13,Sansa,GranSmith
Pop_AurxArl,AurGoldGa,Arlet
Pop_AurxCP,AurGoldGa,CrippsPink
Pop_AurxEnt,AurGoldGa,Enterprise
Pop_AurxHC,AurGoldGa,Honeycrisp
Pop_CPxAur,CrippsPink,AurGoldGa
Pop_CPxDel,CrippsPink,Delicious
Pop_CPxHC,CrippsPink,Honeycrisp
Pop_CPxWSU3,CrippsPink,WSU3
Pop_CPxWSU5,CrippsPink,WSU5
Pop_CPxWSU7,CrippsPink,WSU7
Pop_DelxHC,Delicious,Honeycrisp
Pop_EntxArl,Enterprise,Arlet
Pop_HCxAr,Honeycrisp,Arlet
Pop_HCxCP,Honeycrisp,CrippsPink
Pop_HCxEnt,Honeycrisp,Enterprise
Pop_HCxSpl,Honeycrisp,Splendour
Pop_WSU3xHC,WSU3,Honeycrisp
Pop_WSU7xWSU5,WSU7,WSU5
