Env,Rep,Genotype,Expected_Mean,Yield
3,1,mf484,2.64,1.9661089586
3,1,mf485,2.24,2.2553457278
3,1,mf487,2.3,1.8444122828
3,1,mf489,2.2,2.4644151798
3,2,Florman,2.43,2.4731285105
3,2,Tegua,2.58,2.5268720787
3,2,manf393,2.47,1.9941331789
3,2,mf447,2.34,2.3192069803
3,2,mf478,2.19,2.221125867
3,2,mf480,2.19,1.7356181045
3,2,mf484,2.64,2.4902991909
3,2,mf485,2.24,2.4486230002
3,2,mf487,2.3,2.1665169577
3,2,mf489,2.2,1.9735793313
3,3,Florman,2.43,1.5688982355
3,3,Tegua,2.58,3.2310693713
3,3,manf393,2.47,2.6326711698
3,3,mf447,2.34,1.8860355623
3,3,mf478,2.19,2.0067812718
3,3,mf480,2.19,2.1043196182
3,3,mf484,2.64,1.5934085226
3,3,mf485,2.24,1.9136736408
3,3,mf487,2.3,2.2868873981
3,3,mf489,2.2,1.7734787871
4,1,Florman,2.71,2.3870580975
4,1,Tegua,2.26,2.0314048212
4,1,manf393,1.77,1.6436409424
4,1,mf447,1.61,1.6757489115
4,1,mf478,2.15,2.3414294612
4,1,mf480,2.04,2.3170086824
4,1,mf484,2.14,1.4665076657
4,1,mf485,1.88,1.9753393689
4,1,mf487,1.72,1.361691136
4,1,mf489,2.18,2.6164798658
4,2,Florman,2.71,2.751926751
4,2,Tegua,2.26,2.395849754
4,2,manf393,1.77,1.0792957284
4,2,mf447,1.61,1.5733819111
4,2,mf478,2.15,2.2195449754
4,2,mf480,2.04,2.5954884485
4,2,mf484,2.14,1.9288448909
4,2,mf485,1.88,1.8530751426
4,2,mf487,1.72,1.845893061
4,2,mf489,2.18,1.6528260555
4,3,Florman,2.71,3.1434857992
4,3,Tegua,2.26,2.869023226
4,3,manf393,1.77,2.0890191462
4,3,mf447,1.61,1.9767054653
4,3,mf478,2.15,2.6826166887
4,3,mf480,2.04,2.2575787784
4,3,mf484,2.14,2.5120210056
4,3,mf485,1.88,1.2697800752
4,3,mf487,1.72,1.7205321384
4,3,mf489,2.18,2.0971033547
5,1,Florman,1.13,0.8910228377
5,1,Tegua,1.14,1.1644997053
5,1,manf393,1.55,1.5837570386
5,1,mf447,1.86,2.0973472616
5,1,mf478,1.98,2.2727131765
5,1,mf480,1.61,1.6812817822
5,1,mf484,1.71,1.7435394069
5,1,mf485,0.85,1.0330129228
5,1,mf487,1.24,1.4126484561
5,1,mf489,1.21,0.2111359074
5,2,Florman,1.13,1.4014549415
5,2,Tegua,1.14,1.1661923914
5,2,manf393,1.55,1.5104860791
5,2,mf447,1.86,2.1058193492
5,2,mf478,1.98,2.0300618704
5,2,mf480,1.61,1.689959769
5,2,mf484,1.71,1.5251310539
5,2,mf485,0.85,0.5809503736
5,2,mf487,1.24,0.8412677035
5,2,mf489,1.21,0.9011381607
5,3,Florman,1.13,1.2432748813
5,3,Tegua,1.14,0.4156748505
5,3,manf393,1.55,1.2498906919
5,3,mf447,1.86,1.2556143151
5,3,mf478,1.98,1.2962907816
5,3,mf480,1.61,1.6204108287
5,3,mf484,1.71,1.4757837509
5,3,mf485,0.85,0.2359904174
5,3,mf487,1.24,1.6059249758
5,3,mf489,1.21,1.0096660779
6,1,Florman,3.08,2.9363022816
6,1,Tegua,3.22,3.2419954969
6,1,manf393,2.9,2.7777834918
6,1,mf447,2.59,2.3160075427
6,1,mf478,2.36,2.2389929101
6,1,mf480,2.43,2.7093834598
6,1,mf484,3.05,3.0034410346
6,1,mf485,2.9,3.030647906
6,1,mf487,2.94,3.0566193953
6,1,mf489,2.57,2.6456560177
6,2,Florman,3.08,3.5482284039
6,2,Tegua,3.22,2.9238352118
6,2,manf393,2.9,2.8103727092
6,2,mf447,2.59,2.6010468971
6,2,mf478,2.36,2.674074505
6,2,mf480,2.43,2.0485229202
6,2,mf484,3.05,3.3976048587
6,2,mf485,2.9,2.9917077774
6,2,mf487,2.94,2.9920835738
6,2,mf489,2.57,3.1230189848
6,3,Florman,3.08,2.5237354815
6,3,Tegua,3.22,2.2461896063
6,3,manf393,2.9,2.197249857
6,3,mf447,2.59,1.7156188618
6,3,mf478,2.36,2.6596228449
6,3,mf480,2.43,1.7692604452
6,3,mf484,3.05,2.4006660087
6,3,mf485,2.9,2.3713710605
6,3,mf487,2.94,1.3705597606
6,3,mf489,2.57,2.4280766902
7,1,Florman,2.81,3.6864430612
7,1,Tegua,2.88,2.8353989702
7,1,manf393,2.96,2.6285443055
7,1,mf447,3.41,3.4753934141
7,1,mf478,3.2,2.7093940677
7,1,mf480,2.96,3.1472317269
7,1,mf484,2.91,2.8857477364
7,1,mf485,2.53,2.7693965114
7,1,mf487,2.73,2.6642348628
7,1,mf489,2.9,3.2458501998
7,2,Florman,2.81,2.6524914024
7,2,Tegua,2.88,3.0921137515
7,2,manf393,2.96,2.6659844875
7,2,mf447,3.41,3.7041903688
7,2,mf478,3.2,3.2354197036
7,2,mf480,2.96,3.0757368883
7,2,mf484,2.91,2.8865505187
7,2,mf485,2.53,2.533994555
7,2,mf487,2.73,2.8607453276
7,2,mf489,2.9,3.5768217904
7,3,Florman,2.81,2.3804863474
7,3,Tegua,2.88,2.7786816272
7,3,manf393,2.96,2.9808020631
7,3,mf447,3.41,3.3357275175
7,3,mf478,3.2,3.6147876794
7,3,mf480,2.96,2.7888818643
7,3,mf484,2.91,3.3609197614
7,3,mf485,2.53,2.3016021551
7,3,mf487,2.73,2.3490953966
7,3,mf489,2.9,2.907424506
8,1,Florman,1.74,1.9906911759
8,1,Tegua,1.73,1.3624658111
8,1,manf393,2.16,2.2113387107
8,1,mf447,1.44,1.3572572044
8,1,mf478,2.2,2.2873725031
8,1,mf480,0.95,1.2201801724
8,1,mf484,2.86,3.3560955318
8,1,mf485,2.13,2.082975902
8,1,mf487,1.6,1.9340675055
8,1,mf489,2.29,2.1756839983
8,2,Florman,1.74,2.1207011639
8,2,Tegua,1.73,1.5507836096
8,2,manf393,2.16,2.0919071526
8,2,mf447,1.44,0.750791824
8,2,mf478,2.2,2.209397361
8,2,mf480,0.95,0.4930872823
8,2,mf484,2.86,2.6794042636
8,2,mf485,2.13,2.1419168616
8,2,mf487,1.6,1.5754196002
8,2,mf489,2.29,1.98200862
8,3,Florman,1.74,1.3553320506
8,3,Tegua,1.73,2.2360232758
8,3,manf393,2.16,1.8120084235
8,3,mf447,1.44,0.9345242905
8,3,mf478,2.2,2.3314601412
8,3,mf480,0.95,0
8,3,mf484,2.86,3.0399268892
8,3,mf485,2.13,2.0254000484
8,3,mf487,1.6,1.3387486119
8,3,mf489,2.29,2.7510212819
9,1,Florman,2.16,0.9825343015
9,1,Tegua,2.44,2.3440036432
9,1,manf393,3.3,2.6685886823
9,1,mf447,3.01,2.6707330016
9,1,mf478,3.37,2.7569758127
9,1,mf480,2.53,1.9878916015
9,1,mf484,2.73,2.5893325521
9,1,mf485,3,2.2771755611
9,1,mf487,3.18,2.7642211852
9,1,mf489,3.25,2.1077206646
9,2,Florman,2.16,2.7137395685
9,2,Tegua,2.44,2.6134964532
9,2,manf393,3.3,3.6953357898
9,2,mf447,3.01,3.5657357005
9,2,mf478,3.37,3.5429703489
9,2,mf480,2.53,2.8329462
9,2,mf484,2.73,2.5710214765
9,2,mf485,3,2.9643015323
9,2,mf487,3.18,3.2343328212
9,2,mf489,3.25,3.5011496604
9,3,Florman,2.16,1.9282258132
9,3,Tegua,2.44,2.4377222457
9,3,manf393,3.3,3.4301962528
9,3,mf447,3.01,3.1554351634
9,3,mf478,3.37,3.374708298
9,3,mf480,2.53,2.3897075064
9,3,mf484,2.73,2.314315456
9,3,mf485,3,2.5495431032
9,3,mf487,3.18,3.0123814011
9,3,mf489,3.25,3.0216362665
10,1,Florman,4.29,4.6017135249
10,1,Tegua,4.21,3.9923535133
10,1,manf393,3.55,3.3170597121
10,1,mf447,3.84,3.9666639371
10,1,mf478,3.53,4.0399369527
10,1,mf480,3.22,3.9660874154
10,1,mf484,4.45,3.9059256676
10,1,mf485,4.46,4.6331865124
10,1,mf487,4.24,3.6712281551
10,1,mf489,4.03,4.1478085995
10,2,Florman,4.29,3.565513664
10,2,Tegua,4.21,4.1343606961
10,2,manf393,3.55,3.3666180368
10,2,mf447,3.84,3.5280634186
10,2,mf478,3.53,3.2709574819
10,2,mf480,3.22,2.7991438043
10,2,mf484,4.45,3.8851787671
10,2,mf485,4.46,3.727476504
10,2,mf487,4.24,3.754407596
10,2,mf489,4.03,3.4278481033
10,3,Florman,4.29,4.878612037
10,3,Tegua,4.21,4.7952531906
10,3,manf393,3.55,4.2789645485
10,3,mf447,3.84,4.404513547
10,3,mf478,3.53,4.309012063
10,3,mf480,3.22,3.1989308565
10,3,mf484,4.45,5.2809021116
10,3,mf485,4.46,5.4102642987
10,3,mf487,4.24,4.6781677706
10,3,mf489,4.03,4.1556794946
11,1,Florman,1.82,1.5197134606
11,1,Tegua,1.71,1.7787422071
11,1,manf393,2.16,1.9704681442
11,1,mf447,1.88,1.9160335063
11,1,mf478,2.09,1.7207217872
11,1,mf480,1.91,2.3787084551
11,1,mf484,2.53,2.9399959611
11,1,mf485,1.87,2.1571808261
11,1,mf487,1.71,1.8908561417
11,1,mf489,2.27,2.3124402949
11,2,Florman,1.82,2.0663297126
11,2,Tegua,1.71,1.8851580597
11,2,manf393,2.16,2.4878218043
11,2,mf447,1.88,1.3991763945
11,2,mf478,2.09,2.0022221277
11,2,mf480,1.91,1.7551238379
11,2,mf484,2.53,2.6133459962
11,2,mf485,1.87,1.5138553463
11,2,mf487,1.71,1.4996106236
11,2,mf489,2.27,2.2191600054
11,3,Florman,1.82,2.3073606947
11,3,Tegua,1.71,2.0638117897
11,3,manf393,2.16,2.609225459
11,3,mf447,1.88,2.5723737269
11,3,mf478,2.09,1.686014164
11,3,mf480,1.91,2.1726367347
11,3,mf484,2.53,2.7608149959
11,3,mf485,1.87,2.1779411106
11,3,mf487,1.71,2.1374939642
11,3,mf489,2.27,3.0441123454
12,1,Florman,5.33,5.1227523705
12,1,Tegua,4.93,4.6465028696
12,1,manf393,4.69,4.613596622
12,1,mf447,4.16,3.5452940035
12,1,mf478,4.7,4.5411880587
12,1,mf480,3.57,3.2651851717
12,1,mf484,5.57,5.4710074324
12,1,mf485,5.43,5.4609705278
12,1,mf487,4.99,4.6685935096
12,1,mf489,4.67,4.5943418351
12,2,Florman,5.33,5.2069398544
12,2,Tegua,4.93,5.1277983792
12,2,manf393,4.69,5.0755074365
12,2,mf447,4.16,4.7119511035
12,2,mf478,4.7,4.1119094053
12,2,mf480,3.57,3.6127880022
12,2,mf484,5.57,5.8418514162
12,2,mf485,5.43,5.9591496772
12,2,mf487,4.99,5.0678105848
12,2,mf489,4.67,5.3024866013
12,3,Florman,5.33,5.2629922313
12,3,Tegua,4.93,5.3651174424
12,3,manf393,4.69,5.1383797496
12,3,mf447,4.16,4.1536491712
12,3,mf478,4.7,5.4505140652
12,3,mf480,3.57,3.3998447744
12,3,mf484,5.57,6.5252916356
12,3,mf485,5.43,6.3386436044
12,3,mf487,4.99,5.2257402174
12,3,mf489,4.67,4.8819451795
13,1,Florman,1.18,0.5354798885
13,1,Tegua,1.32,0
13,1,manf393,2.24,2.1208539902
13,1,mf447,1.63,1.4304730492
13,1,mf478,1.54,1.6161530848
13,1,mf480,1.15,1.5233821652
13,1,mf484,2.45,2.659415383
13,1,mf485,1.78,1.3624423333
13,1,mf487,1.54,1.6409788853
13,1,mf489,2,1.9165710646
13,2,Florman,1.18,0.9327982886
13,2,Tegua,1.32,1.1238838181
13,2,manf393,2.24,2.3372262248
13,2,mf447,1.63,1.0824030662
13,2,mf478,1.54,1.5644478696
13,2,mf480,1.15,1.2860366435
13,2,mf484,2.45,2.1713781728
13,2,mf485,1.78,2.0995380253
13,2,mf487,1.54,1.3474742062
13,2,mf489,2,2.4715230235
13,3,Florman,1.18,1.2806778793
13,3,Tegua,1.32,1.6035118589
13,3,manf393,2.24,1.9850690073
13,3,mf447,1.63,2.2094416076
13,3,mf478,1.54,1.7550263964
13,3,mf480,1.15,1.3980475335
13,3,mf484,2.45,2.9482489537
13,3,mf485,1.78,1.5838428156
13,3,mf487,1.54,1.9623664398
13,3,mf489,2,1.7330604498
14,1,Florman,4.39,4.9829538488
14,1,Tegua,4.4,4.1643651485
14,1,manf393,4.13,4.3198439893
14,1,mf447,3.79,4.3212293488
14,1,mf478,4.33,4.1810257474
14,1,mf480,3.72,3.9148077164
14,1,mf484,4.28,4.0735750684
14,1,mf485,3.77,4.0943223621
14,1,mf487,4.17,4.7955251941
14,1,mf489,4.75,4.0800332291
14,2,Florman,4.39,4.2493590616
14,2,Tegua,4.4,5.4323596042
14,2,manf393,4.13,3.9915416533
14,2,mf447,3.79,3.5228216858
14,2,mf478,4.33,4.1421066807
14,2,mf480,3.72,3.5517623753
14,2,mf484,4.28,3.9342686068
14,2,mf485,3.77,3.7051216175
14,2,mf487,4.17,4.5482766311
14,2,mf489,4.75,4.582643151
14,3,Florman,4.39,4.5031417072
14,3,Tegua,4.4,4.5795470055
14,3,manf393,4.13,4.6343788885
14,3,mf447,3.79,4.3027327264
14,3,mf478,4.33,4.2277842082
14,3,mf480,3.72,3.8475838259
14,3,mf484,4.28,4.2711491234
14,3,mf485,3.77,3.571483104
14,3,mf487,4.17,5.0956771584
14,3,mf489,4.75,5.2942471815
15,1,Florman,3.41,2.578010853
15,1,Tegua,3.45,2.897634478
15,1,manf393,2.22,2.3244164104
15,1,mf447,2.46,2.1096225882
15,1,mf478,3.09,2.878149086
15,1,mf480,2.61,3.2142898496
15,1,mf484,2.81,2.5579395738
15,1,mf485,3.15,3.2605937385
15,1,mf487,3.84,4.4775224365
15,1,mf489,3.54,3.2773523839
15,2,Florman,3.41,3.6588529983
15,2,Tegua,3.45,3.5964679484
15,2,manf393,2.22,1.8757653656
15,2,mf447,2.46,2.4168302373
15,2,mf478,3.09,2.6992185712
15,2,mf480,2.61,2.8891427486
15,2,mf484,2.81,2.7168131714
15,2,mf485,3.15,3.4888479911
15,2,mf487,3.84,3.0442042818
15,2,mf489,3.54,3.7991127852
15,3,Florman,3.41,3.6478146667
15,3,Tegua,3.45,3.3967245048
15,3,manf393,2.22,2.4152115637
15,3,mf447,2.46,2.5192637698
15,3,mf478,3.09,2.5990405427
15,3,mf480,2.61,2.847667639
15,3,mf484,2.81,3.3405169078
15,3,mf485,3.15,3.6705437584
15,3,mf487,3.84,3.7125711238
15,3,mf489,3.54,3.504287136
