plot,entry,rep,year,loc,par1,par2,lodge,height,earht,standpcnt,buyield,kgyield
936,6,3,1999,KnoxTN,2,4,40,2,0.94,102,81,5080
833,7,3,1999,KnoxTN,2,5,35.5,1.9,0.85,102,95.8,6009
835,8,3,1999,KnoxTN,3,4,15.5,2.1,1.09,102,67.4,4224
933,9,3,1999,KnoxTN,3,5,68.4,2,0.94,86,97.2,6093
938,10,3,1999,KnoxTN,4,5,33.3,2.2,1.12,95,69.9,4387
1047,22,3,1999,KnoxTN,1,1,34,1.8,0.88,100,62.1,3895
1044,23,3,1999,KnoxTN,2,2,21.4,1.7,0.79,95,50.9,3190
1046,24,3,1999,KnoxTN,3,3,80,1.9,0.94,68,41.7,2613
1048,25,3,1999,KnoxTN,4,4,45.7,2.2,1.16,79,48.5,3041
1045,26,3,1999,KnoxTN,5,5,25,2,1,90,61.1,3834
1006,1,1,1998,LexingKY,1,2,5.5,3.23,1.27,100,125.8,7887
1001,2,1,1998,LexingKY,1,3,6.9,3.2,1.41,100,114.1,7157
1023,3,1,1998,LexingKY,1,4,7.4,3.12,1.42,93,101.1,6342
1005,4,1,1998,LexingKY,1,5,4.1,2.95,1.41,100,108.9,6833
1004,5,1,1998,LexingKY,2,3,8.3,3,1.51,100,133.5,8373
1017,6,1,1998,LexingKY,2,4,6.9,3.17,1.22,100,116.2,7285
1002,7,1,1998,LexingKY,2,5,9,3,1.36,91.6,112.9,7083
1018,8,1,1998,LexingKY,3,4,2.7,3.3,1.33,100,113.4,7110
1015,9,1,1998,LexingKY,3,5,5.5,3,1.25,100,108.4,6797
1025,10,1,1998,LexingKY,4,5,11.1,3.12,1.36,100,126.2,7917
1020,22,1,1998,LexingKY,1,1,2.9,2.9,1.14,93,85,5334
1019,23,1,1998,LexingKY,2,2,4.1,3,1.36,100,83.6,5245
1010,24,1,1998,LexingKY,3,3,7.2,2.98,1.25,95.8,81.8,5132
1022,25,1,1998,LexingKY,4,4,6.9,2.99,1.3,100,73.4,4602
1012,26,1,1998,LexingKY,5,5,10.5,3.05,1.26,79.1,60.7,3806
2020,1,2,1998,LexingKY,1,2,5.5,2.91,1.18,100,131.1,8225
2014,2,2,1998,LexingKY,1,3,8.3,2.96,1.28,100,113,7090
2001,3,2,1998,LexingKY,1,4,5.5,3.03,1.21,100,121.7,7636
2003,4,2,1998,LexingKY,1,5,4.6,2.91,1.41,88.8,99.1,6218
2025,5,2,1998,LexingKY,2,3,4.1,3.05,1.34,100,113.7,7130
2026,6,2,1998,LexingKY,2,4,18,3.1,1.42,100,131.9,8274
2009,7,2,1998,LexingKY,2,5,9.7,3.32,1.3,100,129.6,8132
2019,8,2,1998,LexingKY,3,4,4.1,3.34,1.41,100,135.9,8526
2004,9,2,1998,LexingKY,3,5,7.5,3,1.25,91.6,101.1,6342
2006,10,2,1998,LexingKY,4,5,6.9,3.11,1.42,100,108.2,6786
2017,22,2,1998,LexingKY,1,1,1.3,2.9,1.17,100,73.7,4624
2002,23,2,1998,LexingKY,2,2,2.7,2.89,1.25,100,75.3,4725
2007,24,2,1998,LexingKY,3,3,8.3,3.1,1.51,100,78,4892
2024,25,2,1998,LexingKY,4,4,11.1,3.07,1.39,100,92.8,5823
2023,26,2,1998,LexingKY,5,5,9.7,2.91,1.11,100,94.4,5919
3001,1,3,1998,LexingKY,1,2,2.7,2.92,1.53,100,141.8,8895
3017,2,3,1998,LexingKY,1,3,1.3,3.12,1.2,100,116.8,7325
3024,3,3,1998,LexingKY,1,4,8.3,3,1.14,100,135.5,8499
3025,4,3,1998,LexingKY,1,5,6.9,2.82,1.22,100,136,8530
3002,5,3,1998,LexingKY,2,3,2.7,2.92,1.37,100,125.5,7872
3019,6,3,1998,LexingKY,2,4,5.5,3.05,1.42,100,164.7,10332
3010,7,3,1998,LexingKY,2,5,15.2,3.11,1.41,100,135.9,8521
3015,8,3,1998,LexingKY,3,4,4.1,3,1.45,100,141.2,8857
3016,9,3,1998,LexingKY,3,5,0,3.2,1.05,100,115.6,7253
3009,10,3,1998,LexingKY,4,5,13.8,3.26,1.52,100,133,8343
3020,22,3,1998,LexingKY,1,1,2.7,3.92,1.36,100,90.9,5700
3014,23,3,1998,LexingKY,2,2,2.7,2.88,1.24,100,76.6,4802
3021,24,3,1998,LexingKY,3,3,8.3,3.12,1.45,100,81.6,5116
3018,25,3,1998,LexingKY,4,4,11.1,2.86,1.12,100,91.3,5724
3008,26,3,1998,LexingKY,5,5,4.1,3,1.22,100,104.5,6552
122,1,1,1999,MilanTN,1,2,13.4,,,92.8,132.9,8338
233,2,1,1999,MilanTN,1,3,10.2,,,87.5,101.6,6375
133,3,1,1999,MilanTN,1,4,2.4,,,75,100.3,6291
121,4,1,1999,MilanTN,1,5,5.3,,,101.7,134.6,8441
234,5,1,1999,MilanTN,2,3,23.5,,,91,99,6214
123,6,1,1999,MilanTN,2,4,10.9,,,98.2,138.7,8700
127,7,1,1999,MilanTN,2,5,5.3,,,100,120.1,7535
229,8,1,1999,MilanTN,3,4,14,,,89.3,92.4,5796
125,9,1,1999,MilanTN,3,5,1.8,,,96.4,109.9,6895
131,10,1,1999,MilanTN,4,5,9.4,,,94.6,154.5,9691
421,22,1,1999,MilanTN,1,1,5.8,,,92.8,79.7,5000
423,23,1,1999,MilanTN,2,2,2.3,,,76.8,72.4,4541
424,24,1,1999,MilanTN,3,3,10.4,,,85.7,98.6,6185
422,25,1,1999,MilanTN,4,4,12.8,,,83.9,125.6,7876
425,26,1,1999,MilanTN,5,5,3.5,,,100,127.1,7974
328,1,2,1999,MilanTN,1,2,3.8,,,94.6,100.6,6308
333,2,2,1999,MilanTN,1,3,2.1,,,85.7,119.6,7500
223,3,2,1999,MilanTN,1,4,8.2,,,108.9,155.2,9732
323,4,2,1999,MilanTN,1,5,5.2,,,103.5,144.1,9037
322,5,2,1999,MilanTN,2,3,3.7,,,96.4,104.9,6580
321,6,2,1999,MilanTN,2,4,7.5,,,94.6,137.3,8610
324,7,2,1999,MilanTN,2,5,3.8,,,94.6,118.2,7413
325,8,2,1999,MilanTN,3,4,17.5,,,101.7,108,6776
331,9,2,1999,MilanTN,3,5,3.6,,,100,124.4,7800
329,10,2,1999,MilanTN,4,5,14.5,,,98.2,139,8719
429,22,2,1999,MilanTN,1,1,0,,,94.6,76.9,4822
426,23,2,1999,MilanTN,2,2,3.7,,,96.4,75.7,4749
427,24,2,1999,MilanTN,3,3,8.5,,,83.9,91.7,5750
428,25,2,1999,MilanTN,4,4,12.9,,,96.4,102.9,6452
430,26,2,1999,MilanTN,5,5,3.9,,,91.1,124.6,7812
439,1,3,1999,MilanTN,1,2,6.5,,,82.1,92.5,5803
138,2,3,1999,MilanTN,1,3,7.5,,,94.6,120.5,7559
239,3,3,1999,MilanTN,1,4,11.7,,,91.1,96.1,6029
237,4,3,1999,MilanTN,1,5,5.9,,,91.1,121,7591
236,5,3,1999,MilanTN,2,3,12,,,89.3,87.2,5469
438,6,3,1999,MilanTN,2,4,3.8,,,94.6,134.4,8429
238,7,3,1999,MilanTN,2,5,5,,,107.1,158.4,9934
240,8,3,1999,MilanTN,3,4,10,,,89.3,122.6,7691
340,9,3,1999,MilanTN,3,5,4.7,,,85.7,108.8,6826
440,10,3,1999,MilanTN,4,5,2.6,,,69.6,131.3,8233
431,22,3,1999,MilanTN,1,1,0,,,94.6,86.9,5449
435,23,3,1999,MilanTN,2,2,2.5,,,71.4,69.8,4380
434,24,3,1999,MilanTN,3,3,11.9,,,75,87.6,5492
433,25,3,1999,MilanTN,4,4,7.3,,,73.2,96.5,6050
432,26,3,1999,MilanTN,5,5,2,,,89.3,129.9,8147
1004,1,1,1998,QuickKY,1,2,6.1,,,100,106.3,6669
1018,2,1,1998,QuickKY,1,3,4.5,,,100,66.6,4175
1003,3,1,1998,QuickKY,1,4,9.1,,,100,122.4,7676
1006,4,1,1998,QuickKY,1,5,6.1,,,100,115.9,7272
1013,5,1,1998,QuickKY,2,3,7.6,,,100,76.4,4795
1001,6,1,1998,QuickKY,2,4,1.5,,,100,77.1,4839
1023,7,1,1998,QuickKY,2,5,6.1,,,100,115.1,7222
1012,8,1,1998,QuickKY,3,4,12.1,,,100,84.7,5311
1022,9,1,1998,QuickKY,3,5,,,,100,96.3,6039
1026,10,1,1998,QuickKY,4,5,13.6,,,100,117.6,7376
1021,22,1,1998,QuickKY,1,1,4.5,,,100,63.3,3973
1015,23,1,1998,QuickKY,2,2,,,,100,38.4,2408
1019,24,1,1998,QuickKY,3,3,10.6,,,100,43.3,2715
1017,25,1,1998,QuickKY,4,4,4.5,,,100,97.1,6090
1020,26,1,1998,QuickKY,5,5,9.1,,,100,89.9,5641
2023,1,2,1998,QuickKY,1,2,12.1,,,100,97.7,6128
2022,2,2,1998,QuickKY,1,3,,,,100,70.4,4416
2001,3,2,1998,QuickKY,1,4,,,,100,73.5,4611
2009,4,2,1998,QuickKY,1,5,13.6,,,100,106.6,6684
2025,5,2,1998,QuickKY,2,3,21.2,,,100,49.9,3131
2002,6,2,1998,QuickKY,2,4,16.7,,,100,82.4,5171
2016,7,2,1998,QuickKY,2,5,15.2,,,100,101.9,6393
2020,8,2,1998,QuickKY,3,4,16.7,,,100,111.1,6972
2006,9,2,1998,QuickKY,3,5,18.2,,,100,117.1,7343
2012,10,2,1998,QuickKY,4,5,15.1,,,100,118.6,7441
2011,22,2,1998,QuickKY,1,1,7.6,,,100,32.6,2044
2005,23,2,1998,QuickKY,2,2,12.1,,,100,22.9,1434
2019,24,2,1998,QuickKY,3,3,13.6,,,100,45,2822
2010,25,2,1998,QuickKY,4,4,4.5,,,100,86.2,5410
2026,26,2,1998,QuickKY,5,5,6.1,,,100,60,3766
3012,1,3,1998,QuickKY,1,2,18.2,,,100,69.4,4353
3005,2,3,1998,QuickKY,1,3,19.7,,,100,68.6,4305
3025,3,3,1998,QuickKY,1,4,3,,,100,71.8,4501
3026,4,3,1998,QuickKY,1,5,6.1,,,100,75.1,4709
3010,5,3,1998,QuickKY,2,3,15.1,,,100,81.7,5122
3020,6,3,1998,QuickKY,2,4,19.7,,,100,97.9,6140
3018,7,3,1998,QuickKY,2,5,6.1,,,100,95.6,5997
3004,8,3,1998,QuickKY,3,4,12.1,,,100,89.1,5591
3024,9,3,1998,QuickKY,3,5,7.6,,,100,118.8,7451
3013,10,3,1998,QuickKY,4,5,15.1,,,100,97.9,6141
3008,22,3,1998,QuickKY,1,1,,,,100,42.5,2663
3021,23,3,1998,QuickKY,2,2,9.1,,,100,62.5,3920
3003,24,3,1998,QuickKY,3,3,21.2,,,100,43.4,2725
3017,25,3,1998,QuickKY,4,4,3,,,100,85.4,5356
3022,26,3,1998,QuickKY,5,5,,,,100,61,3828
