Family,Year,Loc,Rep,Total_Yield
15,1,2,2,373.02814219
15,2,1,1,374.55751705
15,2,1,2,309.92917292
15,2,2,1,630.98122021
15,2,2,2,381.07855153
16,1,1,1,648.3691894
16,1,1,2,432.83020526
16,1,2,1,559.48724429
16,1,2,2,332.05876745
16,2,1,1,563.74249504
16,2,1,2,703.93584176
16,2,2,1,502.83954358
16,2,2,2,453.51456521
17,1,1,1,601.03357893
17,1,1,2,600.52615466
17,1,2,1,599.26363067
17,1,2,2,495.00435693
17,2,1,1,274.8425408
17,2,1,2,531.8407202
17,2,2,1,383.56389782
17,2,2,2,318.72844277
18,1,1,1,773.30558934
18,1,1,2,475.69152718
18,1,2,1,613.22422371
18,1,2,2,181.50760795
18,2,1,1,140.58563558
18,2,1,2,538.42910685
18,2,2,1,562.74429922
18,2,2,2,675.69812251
19,1,1,1,376.48825839
19,1,1,2,588.52882402
19,1,2,1,423.88671902
19,1,2,2,301.57812112
19,2,1,1,324.15457826
19,2,1,2,396.55819757
19,2,2,1,577.16463657
19,2,2,2,436.35556294
20,1,1,1,338.17721732
20,1,1,2,325.38540436
20,1,2,1,380.78949261
20,1,2,2,512.69406364
20,2,1,1,452.31412711
20,2,1,2,398.97223748
20,2,2,1,584.011208
20,2,2,2,389.27390344
21,1,1,1,268.79107523
21,1,1,2,401.07979359
21,1,2,1,691.31834134
21,1,2,2,118.96247536
21,2,1,1,382.39205279
21,2,1,2,202.43518373
21,2,2,1,230.30300106
21,2,2,2,187.42390002
22,1,1,1,793.19832292
22,1,1,2,649.96523252
22,1,2,1,787.93373362
22,1,2,2,831.84387053
22,2,1,1,511.96107225
22,2,1,2,733.89341072
22,2,2,1,772.40026012
22,2,2,2,478.07191238
23,1,1,1,597.2961044
23,1,1,2,558.18211394
23,1,2,1,363.46538617
23,1,2,2,446.44481351
23,2,1,1,587.94905873
23,2,1,2,419.68577316
23,2,2,1,655.6927815
23,2,2,2,621.91759376
24,1,1,1,330.00179234
24,1,1,2,474.59274173
24,1,2,1,558.95213077
24,1,2,2,532.67747434
24,2,1,1,506.71468724
24,2,1,2,535.08730957
24,2,2,1,718.29855799
24,2,2,2,598.78141435
25,1,1,1,423.8885433
25,1,1,2,395.8384036
25,1,2,1,570.83397081
25,1,2,2,441.20394735
25,2,1,1,621.42857994
25,2,1,2,423.40153096
25,2,2,1,524.17626898
25,2,2,2,571.34994109
26,1,1,1,632.89553068
26,1,1,2,836.94591222
26,1,2,1,784.47229404
26,1,2,2,365.08162886
26,2,1,1,750.2265091
26,2,1,2,412.38056853
26,2,2,1,807.84774324
26,2,2,2,790.68718773
27,1,1,1,632.07005809
27,1,1,2,293.38059884
27,1,2,1,254.00262136
27,1,2,2,-26.8049055
27,2,1,1,477.20147604
27,2,1,2,667.95712103
27,2,2,1,540.4012335
27,2,2,2,510.83124816
28,1,1,1,585.46955853
28,1,1,2,555.11795165
28,1,2,1,676.93220345
28,1,2,2,921.21789548
28,2,1,1,387.31962931
28,2,1,2,597.75952023
28,2,2,1,497.64991297
28,2,2,2,575.06622628
29,1,1,1,600.1869462
29,1,1,2,604.6045714
29,1,2,1,802.47257673
29,1,2,2,814.62016455
29,2,1,1,742.46081972
29,2,1,2,437.64533208
29,2,2,1,536.46323156
29,2,2,2,647.26764884
30,1,1,1,365.23560701
30,1,1,2,175.05786241
30,1,2,1,852.97794758
30,1,2,2,346.01535052
30,2,1,1,668.64655581
30,2,1,2,467.92268007
30,2,2,1,419.49791126
30,2,2,2,448.66472753
31,1,1,1,480.96954294
31,1,1,2,411.19651783
31,1,2,1,803.11391539
31,1,2,2,788.44744315
31,2,1,1,420.8174954
31,2,1,2,505.35459142
31,2,2,1,183.84223641
31,2,2,2,286.70824409
32,1,1,1,713.95064382
32,1,1,2,546.64423397
32,1,2,1,905.92001599
32,1,2,2,619.39670267
32,2,1,1,693.4009824
32,2,1,2,605.23843841
32,2,2,1,361.08153588
32,2,2,2,749.1539894
33,1,1,1,555.77693358
33,1,1,2,516.21635944
33,1,2,1,563.02469944
33,1,2,2,559.35584614
33,2,1,1,297.88498693
33,2,1,2,382.8358703
33,2,2,1,160.10610028
33,2,2,2,428.14840352
34,1,1,1,344.05711296
34,1,1,2,536.43607124
34,1,2,1,711.08383651
34,1,2,2,566.14282696
34,2,1,1,333.80058453
34,2,1,2,576.24547733
34,2,2,1,874.26870243
34,2,2,2,474.58300169
35,1,1,1,164.04358424
35,1,1,2,704.22484087
35,1,2,1,585.53362651
35,1,2,2,520.752236
35,2,1,1,683.50796236
35,2,1,2,704.95378149
35,2,2,1,702.81879159
35,2,2,2,473.03076628
36,1,1,1,413.75079135
36,1,1,2,388.91588471
36,1,2,1,689.81656234
36,1,2,2,430.56959416
36,2,1,1,351.47489856
36,2,1,2,396.87910711
36,2,2,1,527.49764037
36,2,2,2,543.9141632
37,1,1,1,541.77695846
37,1,1,2,396.41071942
37,1,2,1,544.81280436
37,1,2,2,373.78703138
37,2,1,1,503.99007768
37,2,1,2,281.97427881
37,2,2,1,795.2192238
37,2,2,2,370.46240838
38,1,1,1,474.21036531
38,1,1,2,407.50685185
38,1,2,1,460.43414608
38,1,2,2,507.4490995
38,2,1,1,536.45398896
38,2,1,2,474.22623393
38,2,2,1,652.82352243
38,2,2,2,425.35440327
39,1,1,1,670.58847873
39,1,1,2,620.74212013
39,1,2,1,426.97646462
39,1,2,2,387.83381427
39,2,1,1,277.56259379
39,2,1,2,660.02635695
39,2,2,1,510.28627355
39,2,2,2,417.20177051
40,1,1,1,484.68048062
40,1,1,2,612.94616857
40,1,2,1,532.4385038
40,1,2,2,247.07194843
40,2,1,1,378.98566392
40,2,1,2,302.86266743
40,2,2,1,240.26207885
40,2,2,2,545.32065285
41,1,1,1,457.71894673
41,1,1,2,713.00682032
41,1,2,1,359.62051104
41,1,2,2,713.13792259
41,2,1,1,327.45066616
41,2,1,2,393.98088742
41,2,2,1,415.52690966
41,2,2,2,648.1042607
42,1,1,1,518.48784768
42,1,1,2,255.0623136
42,1,2,1,581.30925588
42,1,2,2,293.58317346
42,2,1,1,419.46243439
42,2,1,2,463.96614543
42,2,2,1,258.34958423
42,2,2,2,466.29266232
43,1,1,1,597.76604113
43,1,1,2,648.99320282
43,1,2,1,586.82390168
43,1,2,2,593.54894304
43,2,1,1,604.15797913
43,2,1,2,352.98536647
43,2,2,1,576.14125044
43,2,2,2,420.39943682
44,1,1,1,540.28904699
44,1,1,2,353.63070135
44,1,2,1,625.96975989
44,1,2,2,168.78987198
44,2,1,1,656.83568869
44,2,1,2,628.86833913
44,2,2,1,731.92950451
44,2,2,2,749.55273492
45,1,1,1,188.4059908
45,1,1,2,238.95509138
45,1,2,1,630.91403369
45,1,2,2,610.90206937
45,2,1,1,612.55487777
45,2,1,2,510.12181283
45,2,2,1,627.49558251
45,2,2,2,586.58942406
46,1,1,1,468.02819856
46,1,1,2,357.77442362
46,1,2,1,296.89146579
46,1,2,2,568.00674259
46,2,1,1,443.10179086
46,2,1,2,278.08636332
46,2,2,1,478.61315432
46,2,2,2,537.43539278
47,1,1,1,472.51661832
47,1,1,2,764.288822
47,1,2,1,366.33719783
47,1,2,2,494.54309996
47,2,1,1,592.64781489
47,2,1,2,593.95627255
47,2,2,1,334.18889513
47,2,2,2,393.73671018
48,1,1,1,748.30844403
48,1,1,2,866.4089216
48,1,2,1,389.98015398
48,1,2,2,726.45075929
48,2,1,1,815.67132665
48,2,1,2,381.09287433
48,2,2,1,450.79983251
48,2,2,2,267.01554992
49,1,1,1,556.47992663
49,1,1,2,705.9539983
49,1,2,1,586.12485486
49,1,2,2,449.0682228
49,2,1,1,417.12728082
49,2,1,2,411.47199199
49,2,2,1,704.14636981
49,2,2,2,586.66292568
50,1,1,1,741.10615533
50,1,1,2,362.60412353
50,1,2,1,587.63431246
50,1,2,2,889.52075603
50,2,1,1,179.3101319
50,2,1,2,503.47491785
50,2,2,1,224.40313668
50,2,2,2,160.28753817
51,1,1,1,517.45024445
51,1,1,2,373.02161163
51,1,2,1,551.08761331
51,1,2,2,518.8682588
51,2,1,1,318.19654008
51,2,1,2,459.36351899
51,2,2,1,495.13659357
51,2,2,2,516.61165729
52,1,1,1,777.15453951
52,1,1,2,775.54353647
52,1,2,1,615.26722151
52,1,2,2,567.62202596
52,2,1,1,560.90131482
52,2,1,2,516.39630044
52,2,2,1,524.26706183
52,2,2,2,313.00625379
53,1,1,1,901.31330301
53,1,1,2,797.20538647
53,1,2,1,750.10864482
53,1,2,2,549.84503071
53,2,1,1,557.45750162
53,2,1,2,490.70215085
53,2,2,1,417.40531871
53,2,2,2,486.199692
54,1,1,1,449.56026972
54,1,1,2,583.20838234
54,1,2,1,426.21775077
54,1,2,2,522.8025995
54,2,1,1,530.1926447
54,2,1,2,700.92559871
54,2,2,1,407.69482718
54,2,2,2,508.40735487
55,1,1,1,736.1006389
55,1,1,2,446.73678349
55,1,2,1,470.20727398
55,1,2,2,608.156393
55,2,1,1,282.61461378
55,2,1,2,471.52547849
55,2,2,1,410.75823217
55,2,2,2,402.9338548
56,1,1,1,541.66912909
56,1,1,2,423.36971599
56,1,2,1,541.85790239
56,1,2,2,570.14298141
56,2,1,1,680.71746726
56,2,1,2,627.21059109
56,2,2,1,845.23322809
56,2,2,2,634.71995496
57,1,1,1,460.10065966
57,1,1,2,439.72036081
57,1,2,1,350.29551415
57,1,2,2,281.41117827
57,2,1,1,558.35226595
57,2,1,2,423.11141852
57,2,2,1,700.56634078
57,2,2,2,579.32363953
58,1,1,1,502.02793506
58,1,1,2,547.85310615
58,1,2,1,666.17959247
58,1,2,2,211.27468947
58,2,1,1,514.0729903
58,2,1,2,570.62787576
58,2,2,1,760.57046957
58,2,2,2,756.47273825
59,1,1,1,240.88743937
59,1,1,2,305.11915746
59,1,2,1,505.42077935
59,1,2,2,323.79738422
59,2,1,1,369.85429864
59,2,1,2,657.60420185
59,2,2,1,342.23213763
59,2,2,2,397.13143815
60,1,1,1,644.55839298
60,1,1,2,519.04916378
60,1,2,1,662.57033456
60,1,2,2,382.53505772
60,2,1,1,572.18042927
60,2,1,2,600.91727034
60,2,2,1,599.44273539
60,2,2,2,510.40886238
61,1,1,1,285.49128802
61,1,1,2,522.61581436
61,1,2,1,153.65129519
61,1,2,2,374.97954284
61,2,1,1,234.92943143
61,2,1,2,285.63779213
61,2,2,1,659.81227847
61,2,2,2,267.21698786
62,1,1,1,561.29034953
62,1,1,2,425.33337952
62,1,2,1,397.52005568
62,1,2,2,379.60223868
62,2,1,1,427.56944085
62,2,1,2,493.29540062
62,2,2,1,321.09763799
62,2,2,2,374.05130105
63,1,1,1,382.29835441
63,1,1,2,618.34422272
63,1,2,1,561.36521458
63,1,2,2,552.26152227
63,2,1,1,226.89699484
63,2,1,2,413.19531427
63,2,2,1,361.26943245
63,2,2,2,285.58431616
64,1,1,1,650.71363743
64,1,1,2,771.91955497
64,1,2,1,376.65380047
64,1,2,2,607.17694739
64,2,1,1,560.12410908
64,2,1,2,416.55087815
64,2,2,1,512.37993111
64,2,2,2,454.09890074
65,1,1,1,124.11306548
65,1,1,2,220.92731445
65,1,2,1,403.04278687
65,1,2,2,398.57289397
65,2,1,1,314.42246716
65,2,1,2,865.27685407
65,2,2,1,642.66318105
65,2,2,2,338.02802745
66,1,1,1,817.45742015
66,1,1,2,546.82176636
66,1,2,1,653.74909636
66,1,2,2,438.76335297
66,2,1,1,487.01379851
66,2,1,2,629.38226192
66,2,2,1,167.81385268
66,2,2,2,630.96972651
67,1,1,1,434.4845229
67,1,1,2,471.83293893
67,1,2,1,553.6968841
67,1,2,2,336.72985902
67,2,1,1,292.90083331
67,2,1,2,426.59741454
67,2,2,1,506.16200969
67,2,2,2,492.49388841
68,1,1,1,720.2685728
68,1,1,2,612.47181615
68,1,2,1,633.7999524
68,1,2,2,459.60216576
68,2,1,1,521.65713341
68,2,1,2,384.48622128
68,2,2,1,450.20597809
68,2,2,2,275.73939363
69,1,1,1,396.4972359
69,1,1,2,674.11451404
69,1,2,1,460.52326407
69,1,2,2,617.35611439
69,2,1,1,408.47244734
69,2,1,2,560.77617847
69,2,2,1,457.80770855
69,2,2,2,636.71280395
70,1,1,1,595.13741323
70,1,1,2,653.9088528
70,1,2,1,333.03604228
70,1,2,2,383.68453732
70,2,1,1,257.94985325
70,2,1,2,469.31389463
70,2,2,1,399.05718036
70,2,2,2,266.23733037
71,1,1,1,758.84574775
71,1,1,2,512.34810522
71,1,2,1,588.44164238
71,1,2,2,290.63991053
71,2,1,1,600.59896647
71,2,1,2,625.86829457
71,2,2,1,652.02115038
71,2,2,2,495.28198911
72,1,1,1,567.91299715
72,1,1,2,425.22050083
72,1,2,1,361.62225603
72,1,2,2,471.94265759
72,2,1,1,653.10215971
72,2,1,2,704.12189721
72,2,2,1,545.04371309
72,2,2,2,406.79988416
73,1,1,1,537.29012704
73,1,1,2,521.78671439
73,1,2,1,690.33613846
73,1,2,2,802.11948378
73,2,1,1,483.87875086
73,2,1,2,683.77261122
73,2,2,1,610.07681802
73,2,2,2,167.40224988
74,1,1,1,692.30794524
74,1,1,2,633.38397712
74,1,2,1,564.44738458
74,1,2,2,523.04635428
74,2,1,1,700.14186227
74,2,1,2,755.18795333
74,2,2,1,665.09009028
74,2,2,2,621.57623455
75,1,1,1,518.63266327
75,1,1,2,501.29916901
75,1,2,1,442.19320402
75,1,2,2,447.8316307
75,2,1,1,643.78383412
75,2,1,2,594.11461155
75,2,2,1,466.79635217
75,2,2,2,295.38931513
76,1,1,1,634.57268706
76,1,1,2,403.60072841
76,1,2,1,514.81238421
76,1,2,2,550.20461941
76,2,1,1,679.39723603
76,2,1,2,688.97651521
76,2,2,1,658.38436867
76,2,2,2,634.45120756
77,1,1,1,547.76519664
77,1,1,2,348.63724519
77,1,2,1,421.48385924
77,1,2,2,417.08467498
77,2,1,1,480.0441743
77,2,1,2,338.44984625
77,2,2,1,222.51984926
77,2,2,2,302.51383987
78,1,1,1,405.89121173
78,1,1,2,391.58221077
78,1,2,1,472.66298813
78,1,2,2,559.01964343
78,2,1,1,453.26984956
78,2,1,2,476.3969606
78,2,2,1,380.83402293
78,2,2,2,520.74427964
79,1,1,1,388.47942164
79,1,1,2,595.65453681
79,1,2,1,485.75419898
79,1,2,2,475.09979816
79,2,1,1,540.18757107
79,2,1,2,650.20726149
79,2,2,1,650.97961289
79,2,2,2,717.85704401
80,1,1,1,603.98243619
80,1,1,2,744.22626792
80,1,2,1,504.24358405
80,1,2,2,623.90153982
80,2,1,1,366.94632173
80,2,1,2,406.80404419
80,2,2,1,312.43727492
80,2,2,2,437.59615366
81,1,1,1,710.83043524
81,1,1,2,649.67653425
81,1,2,1,396.33438633
81,1,2,2,680.84025807
81,2,1,1,543.12903114
81,2,1,2,249.10532866
81,2,2,1,408.61838553
81,2,2,2,602.31620787
82,1,1,1,618.47251099
82,1,1,2,604.0506267
82,1,2,1,533.32179711
82,1,2,2,531.95349243
82,2,1,1,323.73767549
82,2,1,2,542.15834672
82,2,2,1,396.62869338
82,2,2,2,455.77682937
83,1,1,1,564.9088967
83,1,1,2,640.83227938
83,1,2,1,423.63003639
83,1,2,2,759.03113073
83,2,1,1,455.2678371
83,2,1,2,467.31443017
83,2,2,1,778.91189059
83,2,2,2,505.61349213
84,1,1,1,439.20294248
84,1,1,2,740.54707038
84,1,2,1,515.25720112
84,1,2,2,807.0947106
84,2,1,1,486.10299266
84,2,1,2,525.46440848
84,2,2,1,526.20083555
84,2,2,2,587.34724237
85,1,1,1,876.49839633
85,1,1,2,647.16585718
85,1,2,1,487.9727899
85,1,2,2,782.3815191
85,2,1,1,300.24190135
85,2,1,2,652.69498412
85,2,2,1,558.85111712
85,2,2,2,468.29195055
86,1,1,1,443.59598612
86,1,1,2,556.10035835
86,1,2,1,556.9465649
86,1,2,2,434.86049539
86,2,1,1,165.90881979
86,2,1,2,331.58678103
86,2,2,1,591.32165354
86,2,2,2,403.19967781
87,1,1,1,497.57376447
87,1,1,2,452.04897239
87,1,2,1,473.61932873
87,1,2,2,443.00656931
87,2,1,1,532.4613313
87,2,1,2,617.76339114
87,2,2,1,549.93820301
87,2,2,2,434.81891929
88,1,1,1,421.67072326
88,1,1,2,555.81415813
88,1,2,1,462.91143175
88,1,2,2,675.24381694
88,2,1,1,442.3683182
88,2,1,2,512.89365549
88,2,2,1,596.12696687
88,2,2,2,569.54786529
89,1,1,1,633.44637361
89,1,1,2,438.80811028
89,1,2,1,461.21160937
89,1,2,2,631.78387833
89,2,1,1,637.17314023
89,2,1,2,529.0862735
89,2,2,1,662.59807539
89,2,2,2,700.87077727
90,1,1,1,583.80223256
90,1,1,2,563.22111233
90,1,2,1,642.82527857
90,1,2,2,662.5993139
90,2,1,1,579.33804236
90,2,1,2,210.83064141
90,2,2,1,196.38561815
90,2,2,2,543.10003987
91,1,1,1,435.28116165
91,1,1,2,106.86134971
91,1,2,1,411.54961776
91,1,2,2,230.34582131
91,2,1,1,541.5367449
91,2,1,2,472.83552214
91,2,2,1,640.18290121
91,2,2,2,448.88121212
92,1,1,1,660.40468078
92,1,1,2,679.67251095
92,1,2,1,604.71032661
92,1,2,2,508.2404849
92,2,1,1,477.27077581
92,2,1,2,578.58565716
92,2,2,1,454.42958293
92,2,2,2,402.27057946
93,1,1,1,537.58396939
93,1,1,2,617.54047777
93,1,2,1,707.52095493
93,1,2,2,792.76343397
93,2,1,1,910.8936158
93,2,1,2,663.90771053
93,2,2,1,846.42431142
93,2,2,2,473.38196782
94,1,1,1,366.10898651
94,1,1,2,702.02149351
94,1,2,1,567.7445313
94,1,2,2,576.5664228
94,2,1,1,246.4115578
94,2,1,2,235.82390211
94,2,2,1,595.60463656
94,2,2,2,497.74526806
95,1,1,1,538.35527327
95,1,1,2,576.08758101
95,1,2,1,447.86032673
95,1,2,2,561.85287128
95,2,1,1,505.18664164
95,2,1,2,736.98250493
95,2,2,1,635.85597523
95,2,2,2,693.57970906
96,1,1,1,387.31931209
96,1,1,2,718.26581015
96,1,2,1,429.14009281
96,1,2,2,628.28390223
96,2,1,1,280.94811366
96,2,1,2,247.24065535
96,2,2,1,298.71320236
96,2,2,2,172.08953463
97,1,1,1,348.99891979
97,1,1,2,534.45957166
97,1,2,1,464.04805809
97,1,2,2,283.23661421
97,2,1,1,318.1338597
97,2,1,2,397.70582219
97,2,2,1,353.70316676
97,2,2,2,308.80422962
98,1,1,1,425.49996241
98,1,1,2,262.2596196
98,1,2,1,430.36687589
98,1,2,2,381.14115952
98,2,1,1,646.10379668
98,2,1,2,643.36045871
98,2,2,1,387.33098062
98,2,2,2,496.55646521
99,1,1,1,317.92846211
99,1,1,2,375.44595434
99,1,2,1,335.3045087
99,1,2,2,499.33788928
99,2,1,1,247.17655539
99,2,1,2,483.11768863
99,2,2,1,512.26676925
99,2,2,2,597.52423172
100,1,1,1,456.4771052
100,1,1,2,634.76363216
100,1,2,1,610.50443777
100,1,2,2,798.96351473
100,2,1,1,395.41912397
100,2,1,2,393.79954451
100,2,2,1,546.33609065
100,2,2,2,354.738641
101,1,1,1,508.89901832
101,1,1,2,352.74365246
101,1,2,1,746.56800012
101,1,2,2,605.15868211
101,2,1,1,886.79227234
101,2,1,2,691.76763464
101,2,2,1,695.9567825
101,2,2,2,593.18746972
102,1,1,1,484.5792577
102,1,1,2,386.23992166
102,1,2,1,207.00242018
102,1,2,2,203.42170242
102,2,1,1,469.59529235
102,2,1,2,317.12855827
102,2,2,1,584.55000479
102,2,2,2,579.82983879
103,1,1,1,624.23833208
103,1,1,2,436.38434622
103,1,2,1,660.35839475
103,1,2,2,565.5635627
103,2,1,1,745.06147889
103,2,1,2,779.97374675
103,2,2,1,479.4228999
103,2,2,2,692.8513667
104,1,1,1,341.75841623
104,1,1,2,388.72224182
104,1,2,1,550.0026989
104,1,2,2,504.15281702
104,2,1,1,576.47039746
104,2,1,2,539.07531182
104,2,2,1,697.25933909
104,2,2,2,187.93150748
105,1,1,1,396.80481115
105,1,1,2,364.51484586
105,1,2,1,390.30122161
105,1,2,2,190.94913339
105,2,1,1,51.184172744
105,2,1,2,437.66896198
105,2,2,1,459.20414022
105,2,2,2,302.37690017
106,1,1,1,616.45642218
106,1,1,2,742.76914546
106,1,2,1,679.94200656
106,1,2,2,649.1084927
106,2,1,1,455.85644745
106,2,1,2,380.56695543
106,2,2,1,597.08382982
106,2,2,2,603.62741385
107,1,1,1,488.61055425
107,1,1,2,670.25024694
107,1,2,1,598.78194461
107,1,2,2,578.01475897
107,2,1,1,444.33427307
107,2,1,2,390.97984537
107,2,2,1,569.73072923
107,2,2,2,354.52197797
108,1,1,1,692.43480858
108,1,1,2,670.3513374
108,1,2,1,582.14862887
108,1,2,2,777.04676321
108,2,1,1,579.1869984
108,2,1,2,326.86714279
108,2,2,1,386.68772011
108,2,2,2,376.18835581
109,1,1,1,483.28298009
109,1,1,2,598.43322208
109,1,2,1,366.48994555
109,1,2,2,752.28374419
109,2,1,1,308.36070902
109,2,1,2,419.39301823
109,2,2,1,567.18780772
109,2,2,2,537.63083175
110,1,1,1,513.47024887
110,1,1,2,466.34125842
110,1,2,1,333.27161522
110,1,2,2,70.350051484
110,2,1,1,138.53256333
110,2,1,2,165.54045484
110,2,2,1,470.6863538
110,2,2,2,307.79436059
111,1,1,1,381.54241718
111,1,1,2,632.35805646
111,1,2,1,408.27807604
111,1,2,2,343.97277335
111,2,1,1,517.996642
111,2,1,2,381.39845391
111,2,2,1,424.2594445
111,2,2,2,658.27650157
112,1,1,1,494.46691928
112,1,1,2,548.39658978
112,1,2,1,705.77341352
112,1,2,2,405.9012407
112,2,1,1,706.52358908
112,2,1,2,404.21279793
112,2,2,1,675.3042323
112,2,2,2,509.38456581
113,1,1,1,476.91915603
113,1,1,2,467.30092637
113,1,2,1,332.97199591
113,1,2,2,428.51648891
113,2,1,1,648.09703235
113,2,1,2,446.2947577
113,2,2,1,582.20160827
113,2,2,2,481.38219355
114,1,1,1,596.78600606
114,1,1,2,607.98427395
114,1,2,1,714.80226747
114,1,2,2,691.65492627
114,2,1,1,572.54598059
114,2,1,2,734.44020187
114,2,2,1,328.88617919
114,2,2,2,474.2704995
115,1,1,1,602.12442432
115,1,1,2,755.23692153
115,1,2,1,750.17036522
115,1,2,2,677.18490366
115,2,1,1,372.09150284
115,2,1,2,389.32086239
115,2,2,1,487.35840143
115,2,2,2,602.52555363
116,1,1,1,660.60158792
116,1,1,2,595.2355543
116,1,2,1,341.84151703
116,1,2,2,559.63921045
116,2,1,1,475.14058166
116,2,1,2,429.18718616
116,2,2,1,481.18488202
116,2,2,2,514.63484544
117,1,1,1,258.44796666
117,1,1,2,131.05790407
117,1,2,1,498.62534298
117,1,2,2,510.88581228
117,2,1,1,542.63974592
117,2,1,2,772.68435485
117,2,2,1,522.95637809
117,2,2,2,624.21486791
118,1,1,1,210.06006112
118,1,1,2,695.76213669
118,1,2,1,472.90865556
118,1,2,2,421.66961759
118,2,1,1,530.44235194
118,2,1,2,462.3385096
118,2,2,1,496.92364139
118,2,2,2,527.20756086
119,1,1,1,745.22534554
119,1,1,2,608.97452428
119,1,2,1,746.43501934
119,1,2,2,888.02516723
119,2,1,1,344.37496602
119,2,1,2,464.73929879
119,2,2,1,550.40806006
119,2,2,2,466.2064398
120,1,1,1,559.87939889
120,1,1,2,723.24195796
120,1,2,1,554.66461036
120,1,2,2,415.3603025
120,2,1,1,676.21903727
120,2,1,2,273.52144161
120,2,2,1,662.8331415
120,2,2,2,528.09897227
121,1,1,1,578.6941264
121,1,1,2,474.42184151
121,1,2,1,325.68157648
121,1,2,2,609.07942893
121,2,1,1,471.6304731
121,2,1,2,214.26518594
121,2,2,1,496.48817858
121,2,2,2,478.14609076
122,1,1,1,616.11582525
122,1,1,2,468.71428275
122,1,2,1,727.774523
122,1,2,2,433.17586666
122,2,1,1,406.50915657
122,2,1,2,254.65620608
122,2,2,1,576.01079058
122,2,2,2,611.59456903
123,1,1,1,456.67462128
123,1,1,2,648.72042394
123,1,2,1,516.36674122
123,1,2,2,475.43256802
123,2,1,1,727.11839082
123,2,1,2,503.85131377
123,2,2,1,540.39322903
123,2,2,2,302.49075626
124,1,1,1,577.52769669
124,1,1,2,681.47869751
124,1,2,1,697.05447361
124,1,2,2,368.45467471
124,2,1,1,527.67018163
124,2,1,2,65.304659171
124,2,2,1,405.42787521
124,2,2,2,254.47604484
125,1,1,1,588.06355222
125,1,1,2,387.56725521
125,1,2,1,607.4402974
125,1,2,2,516.91593833
125,2,1,1,311.68879702
